table,column,human_name,data_type,is_nullable,char_length,used_w1,total_w1,pct_w1,grade_w1,used_w2,total_w2,pct_w2,grade_w2,used_all,total_all,pct_all,grade_all,distinct_non_empty_all,description_short,description_long,date_filter,notes
ShowsDB,Dog2Price4,Dog2Price4,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price5,Dog2Price5,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price6,Dog2Price6,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price7,Dog2Price7,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price8,Dog2Price8,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price9,Dog2Price9,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,Dog2Price10,Dog2Price10,decimal,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: NO.",created_at,"Data type: decimal, Nullable: NO."
ShowsDB,CouplesPrice,Couples Price,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,BGidulPrice,Bgidul Price,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,ZezaimPrice,Zezaim Price,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,YoungPrice,Young Price,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,MoreDogsPrice,More Dogs Price,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,MoreDogsPrice2,More Dogs Price2,decimal,YES,,0,14,0.00,1,0,559,0.00,1,180,902,19.96,6,,Monetary amount.,"Numeric amount (usually ILS). Verify decimal scale/precision and casting to float in Laravel models to avoid rounding issues. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,TicketCost,Ticket Cost,decimal,YES,,0,14,0.00,1,0,559,0.00,1,177,902,19.62,5,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,IsExtraTickets,Is Extra Tickets,varchar,YES,200,0,14,0.00,1,0,559,0.00,1,10,902,1.11,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(200), Nullable: YES.",created_at,"Data type: varchar(200), Nullable: YES."
ShowsDB,IsParking,Is Parking,varchar,YES,200,0,14,0.00,1,0,559,0.00,1,5,902,0.55,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(200), Nullable: YES.",created_at,"Data type: varchar(200), Nullable: YES."
ShowsDB,MoreTicketsSelect,More Tickets Select,varchar,YES,4000,0,14,0.00,1,0,559,0.00,1,14,902,1.55,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(4000), Nullable: YES.",created_at,"Data type: varchar(4000), Nullable: YES."
ShowsDB,ParkingSelect,Parking Select,varchar,YES,4000,0,14,0.00,1,0,559,0.00,1,4,902,0.44,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(4000), Nullable: YES.",created_at,"Data type: varchar(4000), Nullable: YES."
ShowsDB,PeototCost,Peotot Cost,decimal,YES,,0,14,0.00,1,0,559,0.00,1,116,902,12.86,4,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
ShowsDB,FreeTextDesc,Free Text Desc,longtext,YES,4294967295,0,14,0.00,1,0,559,0.00,1,0,902,0.00,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: longtext(4294967295), Nullable: YES.",created_at,"Data type: longtext(4294967295), Nullable: YES."
ShowsDB,created_at,Created At,timestamp,YES,,14,14,100.00,10,559,559,100.00,10,573,902,63.53,10,,Creation timestamp of the record.,"Date/time the row was created. Used for windowing (W1/W2) when available. Ensure timezone consistency and non-nullability assumptions. Type: timestamp, Nullable: YES.",created_at,"Data type: timestamp, Nullable: YES. Primary candidate for windowing (W1/W2) if populated; otherwise fallback to other date columns."
ShowsDB,updated_at,Updated At,timestamp,YES,,14,14,100.00,9,559,559,100.00,9,583,902,64.63,9,,Last modification timestamp.,"Date/time when the row was last updated. Often nullable; not used for windowing. Useful for audit trails but not a presence indicator. Type: timestamp, Nullable: YES.",created_at,"Data type: timestamp, Nullable: YES."
ShowsDB,deleted_at,Deleted At,timestamp,YES,,3,14,21.43,4,32,559,5.72,1,35,902,3.88,1,,Soft delete timestamp.,"Nullable timestamp set when the row is soft-deleted. Presence here indicates deletion; absence does not imply use. Type: timestamp, Nullable: YES.",created_at,"Data type: timestamp, Nullable: YES. Soft-deletion flag; low usage does not imply irrelevance."
ShowsDB,start_from_index,Start From Index,varchar,YES,255,14,14,100.00,10,462,559,82.65,10,805,902,89.25,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(255), Nullable: YES.",created_at,"Data type: varchar(255), Nullable: YES."
ShowsDB,location,Location,varchar,YES,255,1,14,7.14,2,521,559,93.20,10,522,902,57.87,9,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(255), Nullable: YES.",created_at,"Data type: varchar(255), Nullable: YES."
ShowsDB,banner_image,Banner Image,varchar,YES,255,1,14,7.14,2,22,559,3.94,1,23,902,2.55,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(255), Nullable: YES.",created_at,"Data type: varchar(255), Nullable: YES."
ShowsDB,Check_all_members,Check All Members,smallint,NO,,14,14,100.00,10,559,559,100.00,10,902,902,100.00,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: smallint, Nullable: NO.",created_at,"Data type: smallint, Nullable: NO."
Shows_Breeds,DataID,Data Id,bigint,NO,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: bigint, Nullable: NO.",CreationDateTime,"Data type: bigint, Nullable: NO."
Shows_Breeds,ModificationDateTime,Modification Date Time,datetime,YES,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Last modification timestamp.,"Date/time when the row was last updated. Often nullable; not used for windowing. Useful for audit trails but not a presence indicator. Type: datetime, Nullable: YES.",CreationDateTime,"Data type: datetime, Nullable: YES."
Shows_Breeds,CreationDateTime,Creation Date Time,datetime,YES,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Creation timestamp of the record.,"Date/time the row was created. Used for windowing (W1/W2) when available. Ensure timezone consistency and non-nullability assumptions. Type: datetime, Nullable: YES.",CreationDateTime,"Data type: datetime, Nullable: YES. Primary candidate for windowing (W1/W2) if populated; otherwise fallback to other date columns."
Shows_Breeds,RaceID,Race Id,decimal,YES,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Breed mapping via BreedsDB.BreedCode (non-standard code FK). Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Breeds,ArenaID,Arena Id,decimal,YES,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Breeds,Remarks,Remarks,varchar,YES,4000,0,7482,0.00,1,0,14107,0.00,1,0,21589,0.00,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(4000), Nullable: YES.",CreationDateTime,"Data type: varchar(4000), Nullable: YES."
Shows_Breeds,OrderID,Order Id,decimal,YES,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Breeds,ShowID,Show Id,decimal,YES,,7482,7482,100.00,10,14107,14107,100.00,10,21589,21589,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Breeds,MainArenaID,Main Arena Id,decimal,YES,,7468,7482,99.81,10,0,14107,0.00,1,7468,21589,34.59,8,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Breeds,JudgeID,Judge Id,decimal,YES,,6785,7482,90.68,10,4281,14107,30.35,8,11066,21589,51.26,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",CreationDateTime,"Assigned judge (often empty in W2). Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,id,Id,int,NO,,137306,137306,100.00,10,303775,303775,100.00,10,441081,441081,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: int, Nullable: NO.",created_at,"Data type: int, Nullable: NO. Likely FK; confirm target table via relationship map."
Shows_Classes,DataID,Data Id,bigint,NO,,137306,137306,100.00,10,303775,303775,100.00,10,441081,441081,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: bigint, Nullable: NO.",created_at,"Data type: bigint, Nullable: NO."
Shows_Classes,ModificationDateTime,Modification Date Time,datetime,YES,,137272,137306,99.98,10,303775,303775,100.00,10,441047,441081,99.99,10,,Last modification timestamp.,"Date/time when the row was last updated. Often nullable; not used for windowing. Useful for audit trails but not a presence indicator. Type: datetime, Nullable: YES.",created_at,"Data type: datetime, Nullable: YES."
Shows_Classes,CreationDateTime,Creation Date Time,datetime,YES,,137272,137306,99.98,10,303775,303775,100.00,10,441047,441081,99.99,10,,Creation timestamp of the record.,"Date/time the row was created. Used for windowing (W1/W2) when available. Ensure timezone consistency and non-nullability assumptions. Type: datetime, Nullable: YES.",created_at,"Data type: datetime, Nullable: YES. Primary candidate for windowing (W1/W2) if populated; otherwise fallback to other date columns."
Shows_Classes,ClassName,Class Name,varchar,YES,200,137298,137306,99.99,10,303775,303775,100.00,10,441073,441081,100.00,10,,Name or label text.,"Human-readable name field. For bilingual columns (Hebrew/English), consider fallbacks and presentation rules in UI. Type: varchar(200), Nullable: YES.",created_at,"Data type: varchar(200), Nullable: YES."
Shows_Classes,Age_FromMonths,Age From Months,decimal,YES,,137306,137306,100.00,10,303775,303775,100.00,10,441081,441081,100.00,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
Shows_Classes,Age_TillMonths,Age Till Months,decimal,YES,,137306,137306,100.00,10,303775,303775,100.00,10,441081,441081,100.00,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
Shows_Classes,SpecialClassID,Special Class Id,decimal,YES,,0,137306,0.00,1,0,303775,0.00,1,0,441081,0.00,1,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,HairID,Hair Id,decimal,YES,,137264,137306,99.97,10,303775,303775,100.00,10,441039,441081,99.99,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,ColorID,Color Id,decimal,YES,,137264,137306,99.97,10,303775,303775,100.00,10,441039,441081,99.99,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,ShowRaceID,Show Race Id,decimal,YES,,137272,137306,99.98,10,303775,303775,100.00,10,441047,441081,99.99,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,ShowID,Show Id,decimal,YES,,137306,137306,100.00,10,303775,303775,100.00,10,441081,441081,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,ShowArenaID,Show Arena Id,decimal,YES,,137298,137306,99.99,10,303775,303775,100.00,10,441073,441081,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"FK to Shows_Structure.id (arena). Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,Remarks,Remarks,varchar,YES,4000,0,137306,0.00,1,0,303775,0.00,1,0,441081,0.00,1,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: varchar(4000), Nullable: YES.",created_at,"Data type: varchar(4000), Nullable: YES."
Shows_Classes,Status,Status,decimal,YES,,137264,137306,99.97,10,303775,303775,100.00,10,441039,441081,99.99,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
Shows_Classes,OrderID,Order Id,decimal,YES,,137306,137306,100.00,10,303775,303775,100.00,10,441081,441081,100.00,10,,Identifier or foreign key reference.,"Integer-like column used as a primary key or a foreign key to a related table. Validate referential integrity; in legacy DB, many FKs are implicit (e.g., BreedCode, SagirID). Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES. Likely FK; confirm target table via relationship map."
Shows_Classes,IsChampClass,Is Champ Class,decimal,YES,,137272,137306,99.98,10,303775,303775,100.00,10,441047,441081,99.99,10,,Data field from legacy system.,"Legacy column. See notes for mapping assumptions and quality. Use the usage percentages and grades to decide migration or modeling priority. Type: decimal, Nullable: YES.",created_at,"Data type: decimal, Nullable: YES."
